Channels
"BC:Whisler/Black",
"BC:NewWstmnstr",
"BC:Vancouver/Sey",
"BC:PortAlbernir",
"BC:Squamish",
"BC:W.Vancvr/Ambl",
"Bellevue/Cougar",
"Bellingham UHF",
"Bellingham VHF",
"Biggs/Juniper Pt",
"Bordmn/GolG",
"Boistfort/BawFaw",
"BrushPr/ClrkRng",
"Chinook/Megler U",
"CdA Metro",
"Coeur d'Alene",
"Corbett/Lookout",
"Ellens/SunE UHF",
"Ellens/SunE VHF",
"Ephrata/Beasley",
"IssaquahTiger",
"Kelso/Columbia",
"Lewiston ID",
"Longview/Rainier",
"Mazama VHF",
"Moses Lk/Frechmn",
"NBend/ValleyCamp",
"Ocean Shores",
"Olympia/Cap Pk",
"Oso/Frailey",
"Prineville/Town",
"Pullman/Pullman",
"Saint Maries ID",
"Seattle/South",
"Seattle/Metro",
"Sequim/Blyn Mtn",
"Shelton/SpncrLk",
"Snoq/RttlsnakeU",
"Snoq/RttlsnakeV",
"Spokane/Lkout U",
"Spokane/Krell U",
"Spokane/Krell V",
"SpknVly/RdgcrstU",
"SpknVly/RdgcrstV",
"Sultan/Haystack",
"Tacoma/Ruston",
"Tri-Citi/JOJ UHF",
"Tri-Citi/JOJ VHF",
"Tulalip/TulalipE",
"Tulalip/TulalipW",
"Wenatchee/LoBdgr",
"Winthrop/RiserLkL",
"Yakima/Elephant",
